404,7,5
272,7,4
2695,7,5
1616,7,5
3941,7,5
1866,7,5
4171,7,5
5822,7,2
2255,7,5
5847,7,5
5157,7,5
319,7,5
743,7,5
4134,7,5
4476,7,5
1005,7,3
4867,7,5
2711,7,4
518,7,5
3362,7,5
980,7,5
965,7,5
4833,7,5
4645,7,5
5326,7,5
3227,7,5
1346,7,2
3871,7,3
2554,7,4
1970,7,5
1076,7,5
3681,7,5
4763,7,5
4891,7,5
798,7,5
4650,7,5
4511,7,5
5405,7,4
1118,7,5
5639,7,5
4510,7,4
3529,7,4
5410,7,5
1182,7,5
1100,7,5
3936,7,4
257,7,3
195,7,4
3726,7,5
3719,7,2
1720,7,5
491,7,5
1767,7,5
5624,7,4
3948,7,5
55,7,5
887,7,4
1796,7,5
4843,7,5
2051,7,4
4703,7,5
3034,7,4
4364,7,5
2387,7,4
2215,7,5
5563,7,5
5806,7,2
3151,7,5
3540,7,3
945,7,5
2593,7,5
2400,7,5
5679,7,5
4453,7,5
1403,7,5
2488,7,1
2113,7,5
2284,7,5
4791,7,5
3059,7,5
4135,7,3
247,7,5
2436,7,1
1698,7,4
1840,7,3
1370,7,1
3112,7,4
5057,7,4
4045,7,5
3240,7,5
773,7,5
3075,7,5
611,7,5
535,7,5
1345,7,5
2953,7,5
5282,7,2
2018,7,5
4215,7,5
3099,7,5
1797,7,4
2176,7,5
3407,7,4
3680,7,5
741,7,4
1860,7,5
4095,7,4
3950,7,5
4886,7,5
2873,7,4
4542,7,5
2372,7,4
1777,7,5
3396,7,5
1073,7,5
3909,7,5
5647,7,5
2729,7,4
1,7,5
208,7,5
1827,7,4
3374,7,5
4677,7,5
2430,7,5
4407,7,5
3684,7,5
4086,7,5
5620,7,5
5704,7,5
5650,7,5
4161,7,5
3287,7,3
1951,7,4
2920,7,5
4417,7,4
5513,7,5
5433,7,5
4801,7,5
3903,7,5
1276,7,4
2362,7,4
5499,7,5
2983,7,5
233,7,5
5668,7,5
3066,7,5
4567,7,5
5788,7,5
4300,7,5
2931,7,5
1996,7,5
4082,7,5
3417,7,5
570,7,5
421,7,5
4839,7,5
3538,7,5
4842,7,5
4605,7,5
3229,7,5
465,7,3
4866,7,4
2758,7,5
2073,7,5
2201,7,4
5546,7,5
5001,7,4
5017,7,4
4894,7,5
5002,7,4
308,7,5
4608,7,5
3152,7,5
3110,7,4
4933,7,5
2561,7,4
373,7,5
4708,7,5
1594,7,5
3838,7,5
3462,7,4
4,7,4
5011,7,4
4046,7,5
602,7,5
1473,7,5
2185,7,4
5413,7,5
135,7,5
2878,7,5
4152,7,5
4654,7,5
2476,7,5
3095,7,5
2649,7,4
3093,7,3
4223,7,5
1157,7,5
853,7,5
360,7,5
694,7,5
4573,7,4
5006,7,5
1902,7,5
2208,7,5
1687,7,5
224,7,5
1634,7,5
2834,7,5
207,7,4
2899,7,4
5292,7,5
2170,7,5
